,category,id,latitude,longitude,name,shortName
1,tram,6350927454370010000,180367133,72043450,Os.Piastów,378
2,tram,6350927454370010000,180234831,71825984,Lubicz,126
4,tram,6350927454370010000,180064597,71601349,Czerwone Maki P+R,3038
8,tram,6350927454370010000,180048914,71821671,Kurdwanów P+R,3176
9,tram,6350927454370010000,180047695,71736393,Borek Fałęcki,747
12,tram,6350927454370010000,180080431,71757823,Sanktuarium Bożego Miłosierdzia,615
13,tram,6350927454370010000,180189697,71695213,Salwator,311
14,tram,6350927454370010000,180263081,71696364,Biprostal,84
15,tram,6350927454370010000,180097653,71660276,Ruczaj,589
18,tram,6350927454370010000,180157950,71809135,Korona,571
19,tram,6350927454370010000,180110753,71729800,Lipińskiego,2686
26,tram,6350927454370010000,180107850,71769998,Łagiewniki,922
28,tram,6350927454370010000,180131163,71786300,Rondo Matecznego,610
31,tram,6350927454370010000,180213932,71730079,Muzeum Narodowe,3141
32,tram,6350927454370010000,180162052,71719420,Kapelanka,576
34,tram,6350927454370010000,180174899,71751717,Centrum Kongresowe ICE,3039
39,tram,6350927454370010000,180198915,71739237,Jubilat,319
40,tram,6350927454370010000,180217279,71752656,Uniwersytet Jagielloński,321
41,tram,6350927454370010000,180212247,71759953,Filharmonia,322
43,tram,6350927454370010000,180186102,71790433,Stradom,359
47,tram,6350927454370010000,180183978,71823985,Św.Wawrzyńca,2742
48,tram,6350927454370010000,180196182,71782457,Wawel,325
49,tram,6350927454370010000,180213089,71776500,Plac Wszystkich Świętych,1360
50,tram,6350927454370010000,180210340,71786990,Św.Gertrudy,2741
51,tram,6350927454370010000,180214076,71792015,Poczta Główna,357
52,tram,6350927454370010000,180206010,71803581,Starowiślna,358
53,tram,6350927454370010000,180192826,71814352,Miodowa,362
54,tram,6350927454370010000,180211207,71816125,Hala Targowa,363
56,tram,6350927454370010000,180226642,71651287,Cichy Kącik,87
57,tram,6350927454370010000,180279461,71644220,Bronowice,89
59,tram,6350927454370010000,180267420,71677535,Uniwersytet Pedagogiczny,88
60,tram,6350927454370010000,180295027,71577170,Bronowice Małe,135
64,tram,6350927454370010000,180319272,71753242,Krowodrza Górka,63
65,tram,6350927454370010000,180240862,71745438,Batorego,78
66,tram,6350927454370010000,180228878,71758536,Teatr Bagatela,77
67,tram,6350927454370010000,180249160,71735097,Plac Inwalidów,79
68,tram,6350927454370010000,180259199,71711001,Urzędnicza,83
69,tram,6350927454370010000,180255545,71801840,Politechnika,73
70,tram,6350927454370010000,180238571,71782388,Stary Kleparz,3032
73,tram,6350927454370010000,180232794,71802022,Dworzec Główny,131
74,tram,6350927454370010000,180244921,71803299,Dworzec Główny Zachód,2608
75,tram,6350927454370010000,180246297,71809578,Dworzec Główny Tunel,1173
76,tram,6350927454370010000,180272154,71784192,Dworzec Towarowy,70
77,tram,6350927454370010000,180264512,71771333,Nowy Kleparz,71
82,tram,6350927454370010000,180084121,71929954,Bieżanowska,630
83,tram,6350927454370010000,180055534,71897389,Piaski Nowe,716
88,tram,6350927454370010000,180059594,72027118,Teligi,681
91,tram,6350927454370010000,180056187,72082990,Nowy Bieżanów P+R,3175
93,tram,6350927454370010000,180290620,71776085,Podgórze SKA,3158
96,tram,6350927454370010000,180096973,71916944,Kabel,624
100,tram,6350927454370010000,180146469,71939257,Lipska,561
101,tram,6350927454370010000,180162383,71839584,Limanowskiego,569
102,tram,6350927454370010000,180167637,71838366,Plac Bohaterów Getta,570
104,tram,6350927454370010000,180176268,71883649,Klimeckiego,946
105,tram,6350927454370010000,180207818,71852584,Rondo Grzegórzeckie,365
113,tram,6350927454370010000,180143662,72005402,Mały Płaszów,1263
116,tram,6350927454370010000,180236041,71853530,Rondo Mogilskie,125
118,tram,6350927454370010000,180244685,71828772,Uniwersytet Ekonomiczny,127
119,tram,6350927454370010000,180264956,71844258,Cmentarz Rakowicki,124
124,tram,6350927454370010000,180226726,71941975,Plaza,3033
131,tram,6350927454370010000,180264612,71965384,Muzeum Lotnictwa,2811
137,tram,6350927454370010000,180265067,72061596,Rondo Czyżyńskie,408
138,tram,6350927454370010000,180342391,71986739,Mistrzejowice,375
141,tram,6350927454370010000,180332424,72056920,Dunikowskiego,388
147,tram,6350927454370010000,180259494,72135185,Plac Centralny im. R.Reagana,2744
149,tram,6350927454370010000,180286510,72098620,Rondo Kocmyrzowskie im. Ks. Gorzelanego,2745
159,tram,6350927454370010000,180318123,72204362,Wiadukty,434
163,tram,6350927454370010000,180322790,72300966,Walcownia,463
166,tram,6350927454370010000,180249368,72243352,Kopiec Wandy,450
169,tram,6350927454370010000,180285303,72236590,Kombinat,459
173,tram,6350927454370010000,180341535,72234935,Wzgórza Krzesławickie,442
